treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
static,0.2,0,40,900,3.0844444444444443,1.3926721805468565,0.5070330694693842,0.021656729677403917,0.10569121067203309,0.9095283642920633
static,0.2,0,60,900,2.7311111111111113,1.2260727225526447,0.5105850289688217,0.017115111996624424,0.10707468809906748,0.9295113412069185
static,0.2,0,80,900,2.437777777777778,1.0485522058510304,0.4967324074776645,0.01741747409340799,0.11101775300587399,0.9278776308423317
static,0.2,0,100,900,2.388888888888889,1.02734225006345,0.49815973233635835,0.016233964913869754,0.1122351879326659,0.9329359118472833
static,0.2,0,120,900,2.4555555555555557,0.9984555975339683,0.498301039940185,0.017026156632261966,0.11574917533103452,0.9299772379491237
static,0.2,0,140,900,2.341111111111111,0.9346888305080698,0.5035509330030026,0.01452519019832721,0.11713704329520583,0.9405606423211791
static,0.2,0,160,900,2.2555555555555555,0.8814270135677221,0.4978739129602919,0.016871974991405716,0.1169683175729816,0.9308035605567854
static,0.2,0,180,900,2.2977777777777777,0.8832990908806695,0.49225872059270154,0.014926245438196347,0.12019739273685619,0.9395502407743214
static,0.2,0,200,900,2.2855555555555553,0.8456504545957654,0.5022640008954817,0.016488428181464287,0.11825561221281955,0.9325972723874212
static,0.2,1,0,900,3.5455555555555556,1.6750231249555338,0.4943301288943408,0.19419704943313573,0.07967259982726389,0.05264632721128469
static,0.2,1,20,900,3.3955555555555557,1.4739147503699204,0.5066220863892154,0.048529886490383325,0.09914780609167374,0.7889522189319933
static,0.2,1,40,900,3.2066666666666666,1.3497160195142286,0.4992112854123933,0.0239080739932719,0.11042860203645942,0.900177202349603
static,0.2,1,60,900,3.117777777777778,1.2916464753499506,0.5040593916674301,0.01902862949481408,0.11775536599333389,0.92209256250696
static,0.2,1,80,900,2.8722222222222222,1.1422713997195606,0.5019563117551149,0.018980947805862076,0.12110495754198276,0.9230057398727486
static,0.2,1,100,900,2.7,1.1110555541665972,0.4893437570528949,0.015715202098795015,0.12573338617856175,0.93777996224799
static,0.2,1,120,900,2.5766666666666667,1.0696364906930869,0.49502861610023335,0.014627453403781805,0.12485309290212492,0.9415548636533246
static,0.2,1,140,900,2.5522222222222224,1.0585868754332382,0.49284455642321684,0.014899514217212442,0.1254731105210477,0.9407206087753992
static,0.2,1,160,900,2.5866666666666664,1.0177535174207075,0.48877393889523096,0.01576934245234838,0.12201243602436661,0.936738434710248
static,0.2,1,180,900,2.5166666666666666,0.966522977826532,0.4876111381530946,0.017357082473041456,0.12539120173812285,0.9312942553387447
static,0.2,1,200,900,2.4144444444444444,0.831606358683283,0.4940842866936042,0.018930308998220825,0.12467767564969894,0.9243219443790057
static,0.2,2,0,900,3.486666666666667,1.746374021285882,0.5071497645535757,0.19332457871291556,0.0823738805094229,0.06947880059289724
static,0.2,2,20,900,3.1344444444444446,1.555896391231406,0.49476074587075597,0.04023529243828216,0.10979035461285687,0.830494402236729
static,0.2,2,40,900,2.9877777777777776,1.4379250310992324,0.4872271942074005,0.020398169329868144,0.11963192537346483,0.9175047171320099
static,0.2,2,60,900,2.7844444444444445,1.2570610443155903,0.493594726863849,0.016345930737191643,0.12114286081812563,0.9338730420478852
static,0.2,2,80,900,2.647777777777778,1.1290829885627223,0.499731492492567,0.014236104550603368,0.12108979970718814,0.9422700217554467
static,0.2,2,100,900,2.568888888888889,1.0897139731185777,0.4982368852030358,0.017134687999478555,0.11655478954305344,0.9296462156455623
static,0.2,2,120,900,2.3966666666666665,1.0335429894838004,0.5091842489864012,0.015593754668395556,0.12021793050011059,0.936930743324529
static,0.2,2,140,900,2.3766666666666665,0.9748561147392185,0.4986717562702322,0.01570984568636459,0.11776596455040957,0.9357108936694798
