A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.8,0.3,1,40,2586,586,2000,0.5083087304928562,0.08655395139798659,3.4061433447098977,0.63685480037786,0.425926309583762,0.6402466322368968,0.028810489831190188,0.007560621505007945
0.0,0.0,0.8,0.3,1,50,2591,591,2000,0.48839149827715433,0.0920146883826036,3.4771573604060912,0.6685847278014103,0.3909958598846509,0.671852343498205,0.04448660535919059,0.008601460190396955
0.0,0.0,0.8,0.3,1,60,2597,597,2000,0.5012134458517096,0.08727508310829205,3.5025125628140703,0.6697633555607924,0.40382507594849054,0.6727212818874344,-0.011162766379850633,0.007618412582394314
0.0,0.0,0.8,0.3,1,70,2594,594,2000,0.5051774486710389,0.08728266781956237,3.420875420875421,0.6996285850841991,0.4049201978610133,0.7027119447141731,0.05288255388088953,0.007645070076441311
0.0,0.0,0.8,0.3,1,80,2594,594,2000,0.49584261455770856,0.09047574113478374,3.3838383838383836,0.7126319854680258,0.4306469335736823,0.7162894649551995,0.08725010071130937,0.008203143587604175
0.0,0.0,0.8,0.3,1,90,2586,586,2000,0.49817878446631814,0.08678018391773114,3.484641638225256,0.7076274959499774,0.4328811241876362,0.7107048616401206,-0.0018404151783310582,0.007534117146815367
0.0,0.0,0.8,0.3,1,100,2594,594,2000,0.5008794475759043,0.09095218440502957,3.355218855218855,0.7193233100285983,0.4356932606877594,0.723114587215394,0.11303893356070732,0.008273073276085266
0.0,0.0,0.8,0.3,2,0,300,300,0,0.5016724144721713,0.2809235604702128,3.0166666666666666,0.47855871920770504,0.4920336208457177,0.514374232925653,0.16763496846244882,0.07892084379742802
0.0,0.0,0.8,0.3,2,10,2176,590,1586,0.49963700221434604,0.10569960762033087,3.042372881355932,0.31530178733630326,0.3624416568651983,0.31977904125484713,0.2655270450483255,0.011172538818484297
0.0,0.0,0.8,0.3,2,20,2574,595,1979,0.5060780404271448,0.10360728763250965,3.3747899159663866,0.4484410288775248,0.36092208187162217,0.45241838101310744,0.27973262479917543,0.010771412625999592
0.0,0.0,0.8,0.3,2,30,2595,595,2000,0.5013071550494549,0.09036404661147387,3.4420168067226893,0.5335398684573748,0.3488637046801483,0.5366212704326683,0.051533985744768425,0.00816736957432394
0.0,0.0,0.8,0.3,2,40,2594,594,2000,0.5056613349069292,0.09511581964881163,3.4882154882154883,0.5897094223722508,0.36148455050872047,0.5930475833108687,0.11844201118911278,0.009079069860393677
0.0,0.0,0.8,0.3,2,50,2594,594,2000,0.5127195563967801,0.09488576260133762,3.4343434343434343,0.605543228753809,0.3724037087551708,0.6088146267087,0.059152253839745185,0.009165095059368272
0.0,0.0,0.8,0.3,2,60,2590,590,2000,0.49957287269799205,0.09494279654546434,3.3067796610169493,0.6284335694780043,0.40610799239031287,0.6315538239675347,0.003637964675281661,0.009014317053605557
0.0,0.0,0.8,0.3,2,70,2588,588,2000,0.5018797265695089,0.09350614479976693,3.2789115646258504,0.6469447527535033,0.41066347361420064,0.6503236351815574,0.005469875274435966,0.008746932487291095
0.0,0.0,0.8,0.3,2,80,2594,594,2000,0.5022565675887344,0.08465804619658232,3.1902356902356903,0.6870402560682798,0.42223344125471857,0.6901102079867661,0.0822209672739415,0.0071720768831051935
