treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.5,0.0,True,1,100,900,2.7622222222222224,0.857072248708458,1.790012934286623,1.4267744984925401,0.11919003884946125,0.09505530544962887,0.4631213684080669
moving,90,0.6,0.5,0.0,True,1,120,900,2.7711111111111113,0.8385496002615261,1.9172896800734847,1.4684742365134695,0.13940865102896674,0.10482353992960619,0.39576898504925917
moving,90,0.6,0.5,0.0,True,1,140,900,2.76,0.8380930735902786,1.8474397908060074,1.4616538019675667,0.13035410373373565,0.10295000603497691,0.43033459508739896
moving,90,0.6,0.5,0.0,True,1,160,900,2.792222222222222,0.7846765473433097,1.6063044456213116,1.3665949447362895,0.12767034048226988,0.10436181541123579,0.44576181504409684
moving,90,0.6,0.5,0.0,True,1,180,900,2.8177777777777777,0.8152133705393778,1.3489309178628655,1.196332438682052,0.13569643503236145,0.10821990771584236,0.41948510971685976
moving,90,0.6,0.5,0.0,True,2,0,900,3.5533333333333332,1.7030821732637829,2.5147881264909717,1.4453114112040448,0.21424832913445838,0.08292632718716228,-0.030871796266447253
moving,90,0.6,0.5,0.0,True,2,20,900,3.218888888888889,1.5077130912186505,2.36822406858763,1.4468777299266509,0.09903925674855467,0.09771803671058071,0.5597427936919498
moving,90,0.6,0.5,0.0,True,2,40,900,3.1166666666666667,1.2852799089865383,2.2927378607338555,1.3838115518469765,0.1253823886767789,0.10679117259441936,0.461383731183869
moving,90,0.6,0.5,0.0,True,2,60,900,2.95,1.1089284116759848,2.0135124113434393,1.3895165206438946,0.1195229655454213,0.10441917900606955,0.4823310621914323
moving,90,0.6,0.5,0.0,True,2,80,900,2.8633333333333333,1.0760989215164602,1.878030224470016,1.371037600022011,0.12742964589542213,0.1074308185043981,0.45306799808713333
moving,90,0.6,0.5,0.0,True,2,100,900,2.897777777777778,1.0352646229376201,1.826800359898877,1.3938426898087406,0.13320768442593808,0.11004066495044683,0.4368674560614712
moving,90,0.6,0.5,0.0,True,2,120,900,3.068888888888889,1.061303647453812,1.3818866784113952,1.2715216545372834,0.13976158843284814,0.11153030234304223,0.41219675675508755
moving,90,0.6,0.5,0.0,True,2,140,900,2.7455555555555557,1.004839524071283,1.1515504030006811,1.006777796146494,0.11116153145238712,0.10184641006527047,0.5131088750522842
moving,90,0.6,0.5,0.0,True,2,160,900,2.6133333333333333,0.9015049146350291,0.9296568160221275,0.7364920240682035,0.14097697192407233,0.10177167139364136,0.3807289365112344
moving,90,0.6,0.5,0.0,True,2,180,900,2.497777777777778,0.8812841360169044,0.6956219653554091,0.5723359099054502,0.13636390374856136,0.09532601759220648,0.3882113135864174
moving,90,0.6,0.5,0.0,True,3,0,900,3.4233333333333333,1.7293897446466164,2.4374437891879723,1.43582367062671,0.2097520415286042,0.08607990832079092,0.006417902313120955
moving,90,0.6,0.5,0.0,True,3,20,900,2.7733333333333334,1.483898768634692,2.467579186973497,1.4633503128592436,0.10514166716224366,0.10200151293642122,0.5400309923509785
moving,90,0.6,0.5,0.0,True,3,40,900,2.6533333333333333,1.3122669105195195,1.9830401477406656,1.4458492668400136,0.1298835574784016,0.1099907939978845,0.44892925729375943
moving,90,0.6,0.5,0.0,True,3,60,900,2.6255555555555556,1.2475808689986225,1.4638193853483927,1.2648739141175203,0.1279015350493172,0.10739660444780696,0.4509596556213983
moving,90,0.6,0.5,0.0,True,3,80,900,2.582222222222222,1.0566801027303263,1.267158457706644,1.1584699284091369,0.13660406475538442,0.10311402052782145,0.40305648454896104
moving,90,0.6,0.5,0.0,True,3,100,900,2.557777777777778,0.8615203328712663,1.2935804330987468,1.066361911658964,0.1293241012170345,0.08948264114397375,0.40342791529193067
moving,90,0.6,0.5,0.0,True,3,120,900,2.433333333333333,0.7031674369909663,1.0028551321213581,0.8956416637896855,0.1081672060188177,0.09875079605243293,0.5225479774094631
moving,90,0.6,0.5,0.0,True,3,140,900,2.3233333333333333,0.6402343321003647,0.9338110812892166,0.7217613328064066,0.13740666467726032,0.10529751276943046,0.4048521051146765
moving,90,0.6,0.5,0.0,True,3,160,900,2.358888888888889,0.6489982784507974,0.9360168454801214,0.7485319022092841,0.14120461274950385,0.10328373264086628,0.3841276607487997
moving,90,0.6,0.5,0.0,True,3,180,900,2.537777777777778,0.7021518952125796,0.9803571694078044,0.8565014468272617,0.13501736320597063,0.10454951812577383,0.41489302334205175
