A,sigma_e,rho,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h,maladaptation
0.0,0.8,0.8,1,0,300,300,0,0.5010822753507017,0.2861281228089732,3.026666666666667,0.5179734379927968,0.21418225133762278
0.0,0.8,0.8,1,10,1555,538,1017,0.4544746538529732,0.31331844390125335,3.62639405204461,0.2168184722711997,0.19243971385967965
0.0,0.8,0.8,1,20,2163,568,1595,0.5853863479426633,0.36743346023849827,3.112676056338028,0.30649728186480196,0.2012729960305716
0.0,0.8,0.8,1,30,2371,564,1807,0.5608313795207998,0.36417703868675627,3.2109929078014185,0.3596636480248255,0.19538802935447203
0.0,0.8,0.8,1,40,2425,581,1844,0.48772475256930414,0.3692947431856276,3.2220309810671255,0.3609506963569841,0.26851292092738555
0.0,0.8,0.8,1,50,2460,571,1889,0.5893181597851082,0.36251432781921267,3.1943957968476355,0.3569930472073865,0.2204092185524128
0.0,0.8,0.8,1,60,2454,562,1892,0.6263485153921947,0.3688573946500843,3.1690391459074734,0.38168200831671706,0.262462895381253
0.0,0.8,0.8,1,70,2544,566,1978,0.6508657696719156,0.37945086909348047,3.1696113074204946,0.4336690540144817,0.33234742335942485
0.0,0.8,0.8,1,80,2519,567,1952,0.6240576180451487,0.4007975863090517,3.306878306878307,0.445736840997115,0.2235830875314414
0.0,0.8,0.8,1,90,2556,564,1992,0.469444801732039,0.40917668229563803,3.382978723404255,0.4745874881533164,0.22745449284367136
0.0,0.8,0.8,1,100,2564,567,1997,0.39796061694043366,0.39496061551794903,3.3880070546737215,0.5230361201283208,0.19822191444361953
0.75,0.0,0.0,0,0,300,300,0,0.5241389688082374,0.2685671823719212,2.99,0.4954732616371255,0.26441457675585556
0.75,0.0,0.0,0,10,1765,580,1185,0.6610998621338865,0.3182004411356196,2.8086206896551724,0.27551650334261274,0.14194940044103635
0.75,0.0,0.0,0,20,2496,597,1899,0.5317215386282239,0.41429606831182575,3.117252931323283,0.41999229058884546,0.06663693038767589
0.75,0.0,0.0,0,30,2581,596,1985,0.4570581282791489,0.42046974391682507,3.7365771812080535,0.4949062346043601,0.08096665582826483
0.75,0.0,0.0,0,40,2590,590,2000,0.42368293301427046,0.4093019146374731,4.023728813559322,0.5334840464604095,0.12041715378620357
0.75,0.0,0.0,0,50,2585,585,2000,0.47994641439860725,0.4294373064155424,3.9008547008547008,0.5262913869915339,0.10127838860099612
0.75,0.0,0.0,0,60,2590,590,2000,0.5659353716581915,0.42226611284673543,4.098305084745762,0.5553236427039905,0.09438338841434617
0.75,0.0,0.0,0,70,2575,581,1994,0.5706270750775654,0.42834551394300097,4.308089500860585,0.5626638595139257,0.14358558989497983
0.75,0.0,0.0,0,80,2579,579,2000,0.46835338355494205,0.42683022459780784,4.379965457685665,0.5667230167983334,0.0774934033695834
0.75,0.0,0.0,0,90,2589,589,2000,0.42889915597387707,0.4170969854914004,4.387096774193548,0.5770230616742711,0.09560635567447623
0.75,0.0,0.0,0,100,2573,578,1995,0.4053512495389995,0.4195927552471073,4.427335640138408,0.5807072273302225,0.11993672632794256
0.75,0.0,0.0,1,0,300,300,0,0.4889745154450956,0.284848805408978,2.97,0.5220547386161595,0.2484110786526399
0.75,0.0,0.0,1,10,1837,571,1266,0.5428032115632597,0.3872858264878367,2.507880910683012,0.2677488764939163,0.11010075044177353
0.75,0.0,0.0,1,20,2412,593,1819,0.49165567226168905,0.41910062119580566,2.93929173693086,0.38259024333423924,0.06130558643854153
0.75,0.0,0.0,1,30,2558,592,1966,0.4579997669126037,0.42587116477440295,2.983108108108108,0.3786625658967885,0.09208842641380592
0.75,0.0,0.0,1,40,2566,578,1988,0.41932024286656533,0.4164767157410473,3.3131487889273354,0.42704212983448725,0.12968622386333842
0.75,0.0,0.0,1,50,2589,596,1993,0.5095252281317694,0.4264367099056312,3.686241610738255,0.44532758496944513,0.08389759398078803
0.75,0.0,0.0,1,60,2570,587,1983,0.5821527876135763,0.42246584253642105,3.918228279386712,0.47753328435899445,0.10702591523208979
0.75,0.0,0.0,1,70,2562,582,1980,0.5845224198808152,0.4236322126189477,3.9965635738831615,0.4834684296056953,0.1119867609653602
0.75,0.0,0.0,1,80,2586,593,1993,0.4960354157404191,0.42660140297998006,3.915682967959528,0.4900667138826531,0.07195085244508359
0.75,0.0,0.0,1,90,2580,583,1997,0.4380511429453536,0.4166224457417014,3.6552315608919383,0.49520788373318475,0.08815761980472674
0.75,0.0,0.0,1,100,2571,578,1993,0.40665553973234464,0.4271470566618889,3.8183391003460208,0.5078140872261239,0.13094940056225413
0.75,0.0,0.8,0,0,300,300,0,0.5127529403537318,0.2778049150077425,2.97,0.49206483758105835,0.21129994202570124
0.75,0.0,0.8,0,10,1813,589,1224,0.5529664573420073,0.3632802061915879,3.359932088285229,0.24009157526945324,0.1087242887519123
0.75,0.0,0.8,0,20,2110,597,1513,0.45352341018717524,0.4164695180377748,4.018425460636516,0.2768715700462275,0.08340088293763288
0.75,0.0,0.8,0,30,2239,587,1652,0.4097519802209054,0.4292450152492243,3.9931856899488927,0.31480860788351095,0.14881484862908823
0.75,0.0,0.8,0,40,2333,585,1748,0.4286115819130373,0.4145230722519451,3.717948717948718,0.3304619941384831,0.14802808830658168
0.75,0.0,0.8,0,50,2434,592,1842,0.5823841030927055,0.4206208071866185,3.856418918918919,0.34817680116647776,0.1254837028314934
0.75,0.0,0.8,0,60,2554,594,1960,0.5956898631820284,0.4191035146032539,3.845117845117845,0.3828992880758093,0.12403998610370584
0.75,0.0,0.8,0,70,2538,582,1956,0.6225248844593135,0.39566790913849154,3.917525773195876,0.4986651669989663,0.12692410886794478
0.75,0.0,0.8,0,80,2561,578,1983,0.5145408150427309,0.41951053911041414,3.7698961937716264,0.4445094268835299,0.08765616138009225
0.75,0.0,0.8,0,90,2593,596,1997,0.45152874893606426,0.4219570310442355,3.709731543624161,0.4667285789518218,0.13664097584166673
0.75,0.0,0.8,0,100,2575,594,1981,0.46834309149770975,0.42110922643500753,3.8821548821548824,0.47495748962237194,0.12559378875932586
0.75,0.0,0.8,1,0,300,300,0,0.5100966292978145,0.30021244104894007,3.0566666666666666,0.5023791704004551,0.27621201637903775
0.75,0.0,0.8,1,10,1954,582,1372,0.5374744736211307,0.34718819939614,3.7216494845360826,0.31142324027742735,0.13717465651258312
0.75,0.0,0.8,1,20,2307,591,1716,0.46671475860880174,0.4056966629036768,3.77326565143824,0.31232949383278497,0.08877530044146567
0.75,0.0,0.8,1,30,2474,589,1885,0.43053411698303673,0.40973728740727217,4.047538200339559,0.38505527727621447,0.1371200129989695
0.75,0.0,0.8,1,40,2513,589,1924,0.42784229151203,0.40373836348634967,4.31918505942275,0.40894765610300116,0.12719387675918248
0.75,0.0,0.8,1,50,2588,589,1999,0.5134477419657449,0.42020899834345393,4.431239388794567,0.4366207851728269,0.09688467213771282
0.75,0.0,0.8,1,60,2571,596,1975,0.5917945354626055,0.41610333587258,4.545302013422819,0.4461252564797054,0.11275235722155294
0.75,0.0,0.8,1,70,2557,587,1970,0.5554933017315686,0.4248826379112817,4.572402044293015,0.4491825108179793,0.10821878472963001
0.75,0.0,0.8,1,80,2591,591,2000,0.46594717582606104,0.42936451120234975,4.675126903553299,0.4873681085736957,0.09721550628552762
0.75,0.0,0.8,1,90,2579,594,1985,0.3814711563115736,0.41815811411773907,4.6767676767676765,0.5006416999633447,0.13723451074721596
