N,boundary_complexity,bridge_formula,bridge_score,cluster_count,coexistence,entropy,epsilon,motif_persistence,order,phase_variance,r,sensitivity,spatial_entropy,steps,temporal_entropy,transient
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.09828968371076664,9,0.7882664524649284,0.7177572183437393,0.30000000000000004,0.5347701149425287,0.9294907658788109,0.04525349793608269,3.8,0.3747016022469141,0.7821211572826379,300,0.6390901818628634,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.10070641695933336,10,0.9074744595687657,0.83895288717845,0.4,0.5975574712643679,0.9314784276096842,0.06569776324834531,3.8,0.27350955795580556,0.8700144899245941,300,0.8009887060442737,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.07857655880858512,10,0.7605562852450163,0.6882199765463779,0.5,0.5027298850574713,0.9276636913013616,0.051130169311674245,3.8,0.3313443184346078,0.8137353147767603,300,0.534812340931466,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.164735449136931,11,0.8856776754251983,0.8181363596194853,0.6000000000000001,0.6515804597701149,0.932458684194287,0.05995118700544566,3.8,0.4542270330589797,0.8809923114699079,300,0.7413124184689688,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.1346618139886582,10,0.8097735884770856,0.7412308370423386,0.7000000000000001,0.6916666666666667,0.931457248565253,0.06173821512684119,3.8,0.4380929802677447,0.8627597823514018,300,0.5926954594423726,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.19919296933817293,7,0.9098726113536101,0.8436478247067682,0.8,0.5954022988505747,0.9337752133531582,0.09159383518197439,3.8,0.5359648472804118,0.8873302573684692,300,0.7902581847869112,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.08770197913569122,11,0.7395334443512253,0.6705042441701752,0.9,0.8495689655172414,0.9309707998189499,0.061117505953987794,3.8,0.31605312853210593,0.8229462184432924,300,0.48418627561414274,450
48,0.12645833333333334,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.08291134279466464,13,0.9192641869503997,0.8502747930752784,1.0,0.5895114942528735,0.9310106061248787,0.05025459536465193,3.8,0.20649217236600817,0.8843455867167044,300,0.8086327119579799,450
48,0.3472222222222222,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0003185477013283851,14,0.4771669750516838,0.3169925001442304,0.0,-0.3333333333333333,0.8398255250925466,0.11311993441068091,3.8375,0.006500465664350484,0.31699250014423036,300,0.31699250014423036,450
48,0.40875,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03759013839116743,32,0.7322112856915928,0.651511761636874,0.1,0.7310344827586207,0.9193004759452812,0.0654416845605158,3.8375,0.12487474733897765,0.6909245287753826,300,0.603340601800919,450
48,0.06395833333333334,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.16374002142003727,11,0.9368099834495528,0.8649524522244829,0.2,0.4285919540229885,0.9281424687749301,0.05411760811296029,3.8375,0.453314868191326,0.8724920348890693,300,0.8557374067455439,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.10937190795623528,13,0.8218866369529705,0.7574013797338655,0.30000000000000004,0.5771551724137931,0.935514742780895,0.05704111042792137,3.8375,0.3664032823459297,0.8002707635068028,300,0.7050054662336085,450
