r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,307,0.001,4,fixed_half,0.5,0.7853323911434645,7.276733042661736e-05,2.917051299733222e-06,0.7852596238130379
3.8625,0.132,320,1440,307,0.001,4,median,0.7233631014823914,0.9926340919934893,0.0,0.0,0.9926340919934893
3.8625,0.132,320,1440,307,0.001,6,fixed_half,0.5,0.7043499318469099,2.8438132686950566e-06,0.0,0.7043470880336412
3.8625,0.132,320,1440,307,0.001,6,median,0.7233631014823914,0.9896171319597672,0.0,0.0,0.9896171319597672
3.8625,0.132,320,1440,359,0.001,4,fixed_half,0.5,0.7282517752164999,9.457282272649939e-06,0.0,0.7282423179342272
3.8625,0.132,320,1440,359,0.001,4,median,0.7228026390075684,0.997221693873743,0.0,0.0,0.997221693873743
3.8625,0.132,320,1440,359,0.001,6,fixed_half,0.5,0.633372772535822,0.0,0.0,0.633372772535822
3.8625,0.132,320,1440,359,0.001,6,median,0.7228026390075684,0.9960642144111003,0.0,0.0,0.9960642144111003
3.8625,0.132,320,1440,401,0.001,4,fixed_half,0.5,0.6677440260490912,0.00015549255506089836,4.974441604902902e-05,0.6675885334940304
3.8625,0.132,320,1440,401,0.001,4,median,0.7208523750305176,0.9922814292648832,6.183745583038869e-06,0.0,0.9922752455193001
3.8625,0.132,320,1440,401,0.001,6,fixed_half,0.5,0.559242225509473,3.7581879225307787e-06,1.4956602525458909e-06,0.5592384673215505
3.8625,0.132,320,1440,401,0.001,6,median,0.7208523750305176,0.9898041626258504,0.0,0.0,0.9898041626258504
3.8625,0.132,320,1440,457,0.001,4,fixed_half,0.5,0.7462990897759954,3.456884143963579e-05,1.4005543222485532e-06,0.7462645209345558
3.8625,0.132,320,1440,457,0.001,4,median,0.7301739454269409,0.9971076925206874,0.0,0.0,0.9971076925206874
3.8625,0.132,320,1440,457,0.001,6,fixed_half,0.5,0.6583200967080882,8.995715709496629e-07,0.0,0.6583191971365173
3.8625,0.132,320,1440,457,0.001,6,median,0.7301739454269409,0.9958443980440765,0.0,0.0,0.9958443980440765
3.8625,0.132,320,1440,17,0.003,4,fixed_half,0.5,0.7211638574762194,0.0006139672212307869,4.787971619085239e-05,0.7205498902549886
3.8625,0.132,320,1440,17,0.003,4,median,0.7326295375823975,0.9818256783857222,9.21794118954328e-06,1.3018487141730218e-05,0.9818164604445326
3.8625,0.132,320,1440,17,0.003,6,fixed_half,0.5,0.6150988983658684,1.9372613062872817e-05,4.4964028776978415e-07,0.6150795257528056
3.8625,0.132,320,1440,17,0.003,6,median,0.7326295375823975,0.9737911261240049,0.0,0.0,0.9737911261240049
3.8625,0.132,320,1440,42,0.003,4,fixed_half,0.5,0.7263834104185081,0.0005549755256387207,4.116969368392519e-06,0.7258284348928693
3.8625,0.132,320,1440,42,0.003,4,median,0.7371046543121338,0.989127382164375,0.0,0.0,0.989127382164375
3.8625,0.132,320,1440,42,0.003,6,fixed_half,0.5,0.6243063116010523,1.644600290653758e-05,0.0,0.6242898655981458
3.8625,0.132,320,1440,42,0.003,6,median,0.7371046543121338,0.9839369153606962,0.0,0.0,0.9839369153606962
3.8625,0.132,320,1440,73,0.003,4,fixed_half,0.5,0.7283393530014368,0.0006403451514211596,7.59933760133372e-05,0.7276990078500156
3.8625,0.132,320,1440,73,0.003,4,median,0.731719970703125,0.9853953692668871,1.1649810404425493e-05,1.188093825946139e-05,0.9853837194564826
3.8625,0.132,320,1440,73,0.003,6,fixed_half,0.5,0.6234651761847487,2.7786868414601176e-05,4.951599646604853e-06,0.6234373893163341
3.8625,0.132,320,1440,73,0.003,6,median,0.731719970703125,0.9793944335354409,0.0,0.0,0.9793944335354409
