r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,173,0.003,6,0.75,0.8856731653213501,0.13768883496942924,0.010735929008889842,0.0,0.1269529059605394
3.8625,0.132,320,1440,211,0.003,4,0.25,0.46525096893310547,0.26348176555901415,0.05377379959493506,2.3082571543034824e-05,0.2097079659640791
3.8625,0.132,320,1440,211,0.003,4,0.5,0.7300431728363037,0.9819840727209244,4.150115632775274e-06,2.4297966643466827e-06,0.9819799226052915
3.8625,0.132,320,1440,211,0.003,4,0.75,0.8856921792030334,0.26306820828181354,0.048546411578654684,1.3470868235332286e-05,0.21452179670315885
3.8625,0.132,320,1440,211,0.003,6,0.25,0.46525096893310547,0.13725861532670386,0.012382396151789312,0.0,0.12487621917491455
3.8625,0.132,320,1440,211,0.003,6,0.5,0.7300431728363037,0.9745196116184223,0.0,0.0,0.9745196116184223
3.8625,0.132,320,1440,211,0.003,6,0.75,0.8856921792030334,0.13767066706172418,0.010346813110772454,0.0,0.12732385395095172
3.8625,0.132,320,1440,257,0.003,4,0.25,0.4652746319770813,0.26557651360431594,0.05303172231209287,4.5835100660446555e-05,0.2125447912922231
3.8625,0.132,320,1440,257,0.003,4,0.5,0.7301523089408875,0.9797524353586949,6.687242798353909e-06,5.252100840336135e-06,0.9797457481158965
3.8625,0.132,320,1440,257,0.003,4,0.75,0.8856902718544006,0.2643264413629959,0.04812099650164218,3.1183509389458155e-05,0.2162054448613537
3.8625,0.132,320,1440,257,0.003,6,0.25,0.4652746319770813,0.13917026572352814,0.012019384812009416,4.664179104477612e-07,0.12715088091151872
3.8625,0.132,320,1440,257,0.003,6,0.5,0.7301523089408875,0.9717161304503026,0.0,0.0,0.9717161304503026
3.8625,0.132,320,1440,257,0.003,6,0.75,0.8856902718544006,0.13903319002099795,0.010179007611539153,0.0,0.1288541824094588
3.8625,0.132,320,1440,307,0.003,4,0.25,0.46545279026031494,0.26323922808865013,0.056625354942886695,0.00012027197764147009,0.20661387314576343
3.8625,0.132,320,1440,307,0.003,4,0.5,0.7272405624389648,0.9717194427136944,6.126867598085053e-05,7.915796064300393e-05,0.9716581740377135
3.8625,0.132,320,1440,307,0.003,4,0.75,0.8856918215751648,0.26266632192816675,0.05182043278575007,7.88476905837093e-05,0.21084588914241667
3.8625,0.132,320,1440,307,0.003,6,0.25,0.46545279026031494,0.13686010788771352,0.01369393891019759,1.5332746001626458e-06,0.12316616897751594
3.8625,0.132,320,1440,307,0.003,6,0.5,0.7272405624389648,0.9598531086529338,0.0,0.0,0.9598531086529338
3.8625,0.132,320,1440,307,0.003,6,0.75,0.8856918215751648,0.13726381469122367,0.01188430724100449,1.0080645161290323e-06,0.1253795074502192
3.8625,0.132,320,1440,359,0.003,4,0.25,0.4647705554962158,0.26856485859448787,0.05328164161016848,0.00015061827327642863,0.21528321698431938
3.8625,0.132,320,1440,359,0.003,4,0.5,0.7331342697143555,0.9697185643577226,0.00020973451535895283,0.0002888076940840852,0.9695088298423636
3.8625,0.132,320,1440,359,0.003,4,0.75,0.885665237903595,0.2665868078850329,0.0471052724739628,0.00011391193338704401,0.21948153541107013
